,client_fk,Client_Name,contact_fk,unique_id,phone_number
72,3474,Hindusthan Hospital,10229,5C3090,
73,3474,Hindusthan Hospital,10234,5C3090,
74,3846,Pentaone Healthcare - Cuttack,0,5C3464,
75,3846,Pentaone Healthcare - Cuttack,15814,5C3464,7008658545
76,3846,Pentaone Healthcare - Cuttack,15794,5C3464,7437002201
77,3846,Pentaone Healthcare - Cuttack,15786,5C3464,9937698908
78,3846,Pentaone Healthcare - Cuttack,15787,5C3464,7903403656
79,3846,Pentaone Healthcare - Cuttack,15793,5C3464,9938281048
80,3733,A R Diagnostics,0,5C3351,
81,3733,A R Diagnostics,15198,5C3351,9986869449
82,3733,A R Diagnostics,14891,5C3351,9986869449
83,3733,A R Diagnostics,15199,5C3351,9900291103
84,1037,Jupiter Lifeline Hospital,0,5C0621,
85,1037,Jupiter Lifeline Hospital,15401,5C0621,9325914954
86,1037,Jupiter Lifeline Hospital,5364,5C0621,
87,1037,Jupiter Lifeline Hospital,2847,5C0621,
88,1037,Jupiter Lifeline Hospital,13230,5C0621,8087542977
89,1037,Jupiter Lifeline Hospital,11481,5C0621,9921518108
90,1037,Jupiter Lifeline Hospital,7123,5C0621,
91,1037,Jupiter Lifeline Hospital,9472,5C0621,9561022622
92,1037,Jupiter Lifeline Hospital,11493,5C0621,8446180019
93,1037,Jupiter Lifeline Hospital,14300,5C0621,9503787093
94,1037,Jupiter Lifeline Hospital,1548,5C0621,
95,1037,Jupiter Lifeline Hospital,14458,5C0621,9145072203
96,1037,Jupiter Lifeline Hospital,13367,5C0621,9136136306
97,1037,Jupiter Lifeline Hospital,1859,5C0621,
98,3813,New Marvel Healthcare & Diagnostics,0,5C3431,
99,3813,New Marvel Healthcare & Diagnostics,15541,5C3431,9379567567
100,3813,New Marvel Healthcare & Diagnostics,15540,5C3431,+91-9686667176
101,3813,New Marvel Healthcare & Diagnostics,15542,5C3431,+91- 9900922242
102,3813,New Marvel Healthcare & Diagnostics,15544,5C3431,9448415412
103,3813,New Marvel Healthcare & Diagnostics,15543,5C3431,+91-8105140555
104,3637,Maruti Diagnostics,0,5C3253,
105,3637,Maruti Diagnostics,13840,5C3253,7019687108
106,3637,Maruti Diagnostics,13839,5C3253,9902847108
107,3637,Maruti Diagnostics,13838,5C3253,+91-7019687108
108,1954,Patidar Diagnostic,0,5C1694,
109,1954,Patidar Diagnostic,5879,5C1694,
110,1954,Patidar Diagnostic,3313,5C1694,
111,1954,Patidar Diagnostic,984,5C1694,8878987778
112,1954,Patidar Diagnostic,14401,5C1694,7440614255
113,757,Utkarsh Scan Centre,0,5C0466,
114,757,Utkarsh Scan Centre,14400,5C0466,9004300705
115,757,Utkarsh Scan Centre,10040,5C0466,9619368909
116,757,Utkarsh Scan Centre,710,5C0466,9819230022
117,757,Utkarsh Scan Centre,7740,5C0466,
118,757,Utkarsh Scan Centre,6532,5C0466,
119,757,Utkarsh Scan Centre,709,5C0466,9619368909
120,3800,Cadabams Megsan Diagnostics,0,5C3418,
121,3800,Cadabams Megsan Diagnostics,15376,5C3418,9986017566
122,3800,Cadabams Megsan Diagnostics,15375,5C3418,9035781336
123,3800,Cadabams Megsan Diagnostics,16067,5C3418,6363710410
124,3800,Cadabams Megsan Diagnostics,15373,5C3418,9035781336
125,380,Pulse Diagnostics - Berhampore,0,5C0210,
126,380,Pulse Diagnostics - Berhampore,11023,5C0210,9563040964
127,380,Pulse Diagnostics - Berhampore,8195,5C0210,
128,380,Pulse Diagnostics - Berhampore,15870,5C0210,8906600808
129,380,Pulse Diagnostics - Berhampore,10778,5C0210,9563040964
130,380,Pulse Diagnostics - Berhampore,7456,5C0210,
131,380,Pulse Diagnostics - Berhampore,4366,5C0210,
132,380,Pulse Diagnostics - Berhampore,688,5C0210,9433511633
133,2029,Mudalagi CT Scan Centre,0,5C1769,
134,2029,Mudalagi CT Scan Centre,12872,5C1769,8073384372
135,2029,Mudalagi CT Scan Centre,12871,5C1769,8073384372
136,2029,Mudalagi CT Scan Centre,3159,5C1769,
137,2029,Mudalagi CT Scan Centre,12870,5C1769,8123652996
138,1399,Oriental Diagnostic Centre,0,5C1182,
139,1399,Oriental Diagnostic Centre,12476,5C1182,8014019910
140,1399,Oriental Diagnostic Centre,2538,5C1182,
141,1399,Oriental Diagnostic Centre,7934,5C1182,
142,1399,Oriental Diagnostic Centre,6917,5C1182,
143,1399,Oriental Diagnostic Centre,5019,5C1182,
144,2993,Sri Vijayendhar Reddy Hospital,0,5C2639,
145,2993,Sri Vijayendhar Reddy Hospital,8624,5C2639,9553411177
146,3447,Bansal Hospital Sagar,0,5C3063,
147,3447,Bansal Hospital Sagar,10945,5C3063,9131281338
148,3447,Bansal Hospital Sagar,10321,5C3063,9399556323
149,3447,Bansal Hospital Sagar,12055,5C3063,9522299722
150,3447,Bansal Hospital Sagar,13725,5C3063,9074956712
151,3447,Bansal Hospital Sagar,10026,5C3063,7582472000
152,2606,Tatwadarsha Hospital,0,5C2289,
153,2606,Tatwadarsha Hospital,15331,5C2289,8971629623
154,2606,Tatwadarsha Hospital,11526,5C2289,8362234444
155,2606,Tatwadarsha Hospital,11356,5C2289,8296025945
156,2606,Tatwadarsha Hospital,7703,5C2289,
157,2606,Tatwadarsha Hospital,3875,5C2289,
158,2606,Tatwadarsha Hospital,14748,5C2289,7337618199
159,2606,Tatwadarsha Hospital,6456,5C2289,
160,2606,Tatwadarsha Hospital,15231,5C2289,9606991457
161,2606,Tatwadarsha Hospital,11607,5C2289,7795126750
162,2606,Tatwadarsha Hospital,11670,5C2289,8088662158
163,2606,Tatwadarsha Hospital,15279,5C2289,8362234466
164,2606,Tatwadarsha Hospital,10889,5C2289,9902695472
165,2606,Tatwadarsha Hospital,13898,5C2289,9513596615
166,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,0,5C3305,
167,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14438,5C3305,8208958484
168,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14464,5C3305,9422735512
169,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14439,5C3305,8080413832
170,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14440,5C3305,9637478064
171,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14437,5C3305,9423495402
172,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14435,5C3305,+91-9423495402
173,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,14436,5C3305,+91-8080413832
174,754,Parkmed Healthcare,0,5C0103,
175,754,Parkmed Healthcare,8484,5C0103,
176,754,Parkmed Healthcare,5877,5C0103,
177,754,Parkmed Healthcare,7413,5C0103,
178,754,Parkmed Healthcare,8171,5C0103,
179,754,Parkmed Healthcare,8568,5C0103,
180,754,Parkmed Healthcare,3312,5C0103,
181,754,Parkmed Healthcare,404,5C0103,9061008040
182,754,Parkmed Healthcare,15385,5C0103,7559877123
183,754,Parkmed Healthcare,10283,5C0103,9495180630
184,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,0,5C2497,
185,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2613,5C2497,
186,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,9084,5C2497,9748789638
187,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,9092,5C2497,7908093288
188,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,6963,5C2497,
189,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,9090,5C2497,8637036922
190,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,5104,5C2497,
191,2708,Samruddhi Diagnostic Center,0,5C2378,
192,2708,Samruddhi Diagnostic Center,7528,5C2378,
193,2708,Samruddhi Diagnostic Center,11311,5C2378,7411281768
194,2708,Samruddhi Diagnostic Center,3519,5C2378,
195,2708,Samruddhi Diagnostic Center,6099,5C2378,
196,2265,Vardhman Diagnostics Pvt. Ltd.,0,5C1984,
197,2265,Vardhman Diagnostics Pvt. Ltd.,12019,5C1984,9839778566
198,2265,Vardhman Diagnostics Pvt. Ltd.,1945,5C1984,
199,2265,Vardhman Diagnostics Pvt. Ltd.,1672,5C1984,
200,2265,Vardhman Diagnostics Pvt. Ltd.,2058,5C1984,
201,2265,Vardhman Diagnostics Pvt. Ltd.,11461,5C1984,9935650383
202,2265,Vardhman Diagnostics Pvt. Ltd.,6545,5C1984,
203,2265,Vardhman Diagnostics Pvt. Ltd.,7748,5C1984,
204,2265,Vardhman Diagnostics Pvt. Ltd.,3959,5C1984,
205,3705,Dorika Hospital - Assam,0,5C3323,
206,3705,Dorika Hospital - Assam,14656,5C3323,7005512526
207,3705,Dorika Hospital - Assam,14662,5C3323,8638906423
208,3705,Dorika Hospital - Assam,14655,5C3323,8486967825
209,3705,Dorika Hospital - Assam,14654,5C3323,9613086726
210,3644,EVR Advanced Diagnostics,0,5C3260,
211,3644,EVR Advanced Diagnostics,13918,5C3260,6304267289
212,3644,EVR Advanced Diagnostics,14605,5C3260,9542538051
213,3644,EVR Advanced Diagnostics,14604,5C3260,6304267289
214,3644,EVR Advanced Diagnostics,14603,5C3260,9866531309
215,3644,EVR Advanced Diagnostics,15960,5C3260,9515706395
216,2468,Rohini Diagnostics Scan Centre,0,5C2166,
217,2468,Rohini Diagnostics Scan Centre,10906,5C2166,9705735573
218,2468,Rohini Diagnostics Scan Centre,6036,5C2166,
219,2468,Rohini Diagnostics Scan Centre,3460,5C2166,
220,2468,Rohini Diagnostics Scan Centre,1606,5C2166,
221,2468,Rohini Diagnostics Scan Centre,11512,5C2166,8790439927
222,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,0,5C3410,
223,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,15485,5C3410,7975471679
224,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,15361,5C3410,9845960902
225,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,15357,5C3410,9448606813
226,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,15362,5C3410,9448606813
227,3784,Guru Hospital,0,5C3402,
228,3784,Guru Hospital,15223,5C3402,9443440722
229,3784,Guru Hospital,15235,5C3402,9952292205
230,3784,Guru Hospital,15269,5C3402,9443440722
231,3784,Guru Hospital,15274,5C3402,6381564546
232,3784,Guru Hospital,15932,5C3402,9629177774
233,3784,Guru Hospital,15234,5C3402,9842195547
234,3784,Guru Hospital,15226,5C3402,9790097070
235,3784,Guru Hospital,15233,5C3402,9952292205
236,3784,Guru Hospital,15423,5C3402,6381564546
237,3784,Guru Hospital,15225,5C3402,+91-9629177774
238,3784,Guru Hospital,15227,5C3402,+91-8938933893
239,3784,Guru Hospital,15236,5C3402,9790097070
240,3784,Guru Hospital,15882,5C3402,9600749253
241,3784,Guru Hospital,15636,5C3402,9790591470
242,3784,Guru Hospital,15224,5C3402,9626409383
243,3784,Guru Hospital,15232,5C3402,8448022148
244,3784,Guru Hospital,15273,5C3402,9447648237
245,3784,Guru Hospital,15271,5C3402,7200634685
246,3784,Guru Hospital,15272,5C3402,9871944180
247,3784,Guru Hospital,15264,5C3402,6385662450
248,3784,Guru Hospital,15241,5C3402,7010483671
249,3467,Ashirwad Clinic And Diagnostic Centre ,0,5C3083,
250,3467,Ashirwad Clinic And Diagnostic Centre ,10207,5C3083,9895488964
251,3467,Ashirwad Clinic And Diagnostic Centre ,10209,5C3083,7000233255
252,3467,Ashirwad Clinic And Diagnostic Centre ,10208,5C3083,
253,3467,Ashirwad Clinic And Diagnostic Centre ,11578,5C3083,9981883736
254,2137,Anirish Orthopedic Clinic,0,5C1856,
255,2137,Anirish Orthopedic Clinic,410,5C1856,9663581868
256,2137,Anirish Orthopedic Clinic,4637,5C1856,
257,2137,Anirish Orthopedic Clinic,411,5C1856,9845985991
258,2137,Anirish Orthopedic Clinic,14784,5C1856,9686402459
259,2137,Anirish Orthopedic Clinic,2186,5C1856,
260,2137,Anirish Orthopedic Clinic,6708,5C1856,
261,3736,Ratan Ultrasound Center,0,5C3354,
262,3736,Ratan Ultrasound Center,15058,5C3354,9053596551
263,3736,Ratan Ultrasound Center,15059,5C3354,8607336906
264,3736,Ratan Ultrasound Center,15060,5C3354,9053155599
265,3736,Ratan Ultrasound Center,14941,5C3354,8607336906
266,1032,Camberwell Diagnostic Center,0,5C1005,
267,1032,Camberwell Diagnostic Center,6812,5C1005,
268,1032,Camberwell Diagnostic Center,2363,5C1005,
269,1032,Camberwell Diagnostic Center,7890,5C1005,
270,1032,Camberwell Diagnostic Center,1012,5C1005,+91-09521716118
271,1032,Camberwell Diagnostic Center,1011,5C1005,+91-9314445404
272,1032,Camberwell Diagnostic Center,4839,5C1005,
273,1032,Camberwell Diagnostic Center,1010,5C1005,9829199199
274,1032,Camberwell Diagnostic Center,15536,5C1005,9521716118
275,1435,Chaudhari Diagnostics,0,5C1218,
276,1435,Chaudhari Diagnostics,5539,5C1218,
277,1435,Chaudhari Diagnostics,2998,5C1218,
278,1435,Chaudhari Diagnostics,10958,5C1218,9152087987
279,2459,Agarwal Nursing Home,0,5C2157,
280,2459,Agarwal Nursing Home,4581,5C2157,
281,2459,Agarwal Nursing Home,6678,5C2157,
282,2459,Agarwal Nursing Home,13906,5C2157,9131344252
283,2459,Agarwal Nursing Home,15570,5C2157,7000866596
284,2459,Agarwal Nursing Home,10824,5C2157,9893153699
285,2459,Agarwal Nursing Home,2139,5C2157,
286,2459,Agarwal Nursing Home,15975,5C2157,7052751557
287,1669,Suvidha Digital X-ray,0,5C1452,
288,1669,Suvidha Digital X-ray,6432,5C1452,
289,1669,Suvidha Digital X-ray,2011,5C1452,
290,1669,Suvidha Digital X-ray,2075,5C1452,
291,1669,Suvidha Digital X-ray,1766,5C1452,
292,1669,Suvidha Digital X-ray,10780,5C1452,9199356774
293,1669,Suvidha Digital X-ray,3853,5C1452,
294,3234,Megsan Diagnostics - Siddartha Hospital,0,5C2860,
295,3234,Megsan Diagnostics - Siddartha Hospital,8881,5C2860,9176249423
296,3234,Megsan Diagnostics - Siddartha Hospital,14507,5C2860,8919979651
297,3234,Megsan Diagnostics - Siddartha Hospital,9624,5C2860,9949536828
298,3234,Megsan Diagnostics - Siddartha Hospital,14506,5C2860,8328351757
299,3234,Megsan Diagnostics - Siddartha Hospital,10018,5C2860,7680873745
300,3234,Megsan Diagnostics - Siddartha Hospital,9552,5C2860,9895315662
301,3234,Megsan Diagnostics - Siddartha Hospital,8883,5C2860,6301166026
302,3234,Megsan Diagnostics - Siddartha Hospital,15507,5C2860,8978727058
303,3234,Megsan Diagnostics - Siddartha Hospital,9355,5C2860,6300574943
304,3234,Megsan Diagnostics - Siddartha Hospital,11141,5C2860,9948569860
305,3234,Megsan Diagnostics - Siddartha Hospital,15124,5C2860,7207156050
306,3234,Megsan Diagnostics - Siddartha Hospital,8880,5C2860,
307,3234,Megsan Diagnostics - Siddartha Hospital,8882,5C2860,9346189127
308,3234,Megsan Diagnostics - Siddartha Hospital,13971,5C2860,9515537757
309,2638,Life Care Health Diagnostic - Karwar,0,5C2315,
310,2638,Life Care Health Diagnostic - Karwar,9247,5C2315,8105808866
311,2638,Life Care Health Diagnostic - Karwar,11282,5C2315,8105808866
312,2638,Life Care Health Diagnostic - Karwar,5485,5C2315,
313,2638,Life Care Health Diagnostic - Karwar,10411,5C2315,9482083860
314,2733,Sri Srinivasa  Multi Speciality  Hospital,0,5C2402,
315,2733,Sri Srinivasa  Multi Speciality  Hospital,15955,5C2402,7676998811
316,2733,Sri Srinivasa  Multi Speciality  Hospital,7646,5C2402,
317,2733,Sri Srinivasa  Multi Speciality  Hospital,1628,5C2402,
318,2733,Sri Srinivasa  Multi Speciality  Hospital,3767,5C2402,
319,2733,Sri Srinivasa  Multi Speciality  Hospital,9276,5C2402,6301170473
320,2733,Sri Srinivasa  Multi Speciality  Hospital,6341,5C2402,
321,3844,Bhardwaj Hospital - Himachal Pradesh,0,5C3462,
322,3844,Bhardwaj Hospital - Himachal Pradesh,15772,5C3462,+91-9816016020
323,3844,Bhardwaj Hospital - Himachal Pradesh,15773,5C3462,+91-9816862189
324,3844,Bhardwaj Hospital - Himachal Pradesh,15779,5C3462,9736246020
325,3844,Bhardwaj Hospital - Himachal Pradesh,15774,5C3462,8894630646
326,3844,Bhardwaj Hospital - Himachal Pradesh,15906,5C3462,9459943959
327,3589,Myo Healthcare,0,5C3205,
328,3589,Myo Healthcare,13197,5C3205,9758627358
329,3589,Myo Healthcare,13196,5C3205,+91-7002412593
330,3589,Myo Healthcare,13195,5C3205,7002412593
331,3589,Myo Healthcare,16041,5C3205,6003997736
332,3310,Raksha  Health Care,0,5C2925,
333,3310,Raksha  Health Care,9670,5C2925,
334,3310,Raksha  Health Care,10269,5C2925,9353118035
335,3310,Raksha  Health Care,9668,5C2925,6362080831
336,3310,Raksha  Health Care,9676,5C2925,7899537635
337,3310,Raksha  Health Care,9694,5C2925,8217220145
338,3310,Raksha  Health Care,9671,5C2925,9916512330
339,3310,Raksha  Health Care,9669,5C2925,9353118035
340,3310,Raksha  Health Care,11110,5C2925,6362080831
341,3310,Raksha  Health Care,15710,5C2925,7349641336
342,3310,Raksha  Health Care,15801,5C2925,9353868350
343,3310,Raksha  Health Care,11185,5C2925,7899485984
344,3730,Yashashvi Hospital,0,5C3348,
345,3730,Yashashvi Hospital,14875,5C3348,+91-9606789586
346,3730,Yashashvi Hospital,14962,5C3348,7349497452
347,3730,Yashashvi Hospital,14873,5C3348,+91-7349497452
348,3730,Yashashvi Hospital,14876,5C3348,+91-8495971878
349,3730,Yashashvi Hospital,14960,5C3348,9945447375
350,3730,Yashashvi Hospital,14951,5C3348,9611507452
351,3730,Yashashvi Hospital,14959,5C3348,8495971878
352,3730,Yashashvi Hospital,14958,5C3348,9611507452
353,3730,Yashashvi Hospital,14961,5C3348,9606789586
354,3730,Yashashvi Hospital,14874,5C3348,+91-9945447375
355,3849,Vinayaka Hospital - Wayanad,0,5C3467,
356,3849,Vinayaka Hospital - Wayanad,15817,5C3467,+91-9207842180
357,3849,Vinayaka Hospital - Wayanad,15825,5C3467,9946122406
358,3849,Vinayaka Hospital - Wayanad,15815,5C3467,+91-7558930778
359,3849,Vinayaka Hospital - Wayanad,15816,5C3467,+91-7012493884
360,3849,Vinayaka Hospital - Wayanad,15818,5C3467,9916925003
361,3849,Vinayaka Hospital - Wayanad,15826,5C3467,9916925003
362,3849,Vinayaka Hospital - Wayanad,15827,5C3467,7558930778
363,581,RR Diagnostics,0,5C0127,
364,581,RR Diagnostics,444,5C0127,9071368693
365,581,RR Diagnostics,1725,5C0127,
366,581,RR Diagnostics,6048,5C0127,
367,581,RR Diagnostics,3468,5C0127,
368,581,RR Diagnostics,445,5C0127,9880187674
369,581,RR Diagnostics,10440,5C0127,9448488650
370,581,RR Diagnostics,8496,5C0127,
371,581,RR Diagnostics,7506,5C0127,
372,581,RR Diagnostics,1984,5C0127,
373,581,RR Diagnostics,8231,5C0127,
374,3005,Cosmos Health Care,0,5C2651,
375,3005,Cosmos Health Care,8641,5C2651,9717189471
376,3552,St.Isabel's Hospital,0,5C3168,
377,3552,St.Isabel's Hospital,15631,5C3168,9941842203
378,3552,St.Isabel's Hospital,11699,5C3168,+91-9677741392
379,3552,St.Isabel's Hospital,11684,5C3168,6369552061
380,3552,St.Isabel's Hospital,15629,5C3168,9789250865
381,3552,St.Isabel's Hospital,13101,5C3168,9514745787
382,3552,St.Isabel's Hospital,11704,5C3168,
383,3552,St.Isabel's Hospital,11703,5C3168,9677741392
384,3552,St.Isabel's Hospital,11702,5C3168,
385,3552,St.Isabel's Hospital,15630,5C3168,9345566392
386,3552,St.Isabel's Hospital,12161,5C3168,9840245176
387,3552,St.Isabel's Hospital,11700,5C3168,4424991081
388,3552,St.Isabel's Hospital,12771,5C3168,8919420994
389,2366,Surakshaa Hospital,0,5C2069,
390,2366,Surakshaa Hospital,8310,5C2069,
391,2366,Surakshaa Hospital,7685,5C2069,
392,2366,Surakshaa Hospital,10696,5C2069,8105441787
393,2366,Surakshaa Hospital,3836,5C2069,
394,2366,Surakshaa Hospital,10681,5C2069,7624818004
395,2366,Surakshaa Hospital,6413,5C2069,
396,2366,Surakshaa Hospital,8524,5C2069,
397,2366,Surakshaa Hospital,9329,5C2069,7348935861
398,1506,Krishna Hospital & Research Center,0,5C1289,
399,1506,Krishna Hospital & Research Center,7466,5C1289,
400,1506,Krishna Hospital & Research Center,14185,5C1289,9411515337
401,1506,Krishna Hospital & Research Center,5982,5C1289,
402,1506,Krishna Hospital & Research Center,8208,5C1289,
403,1506,Krishna Hospital & Research Center,9206,5C1289,9690015338
404,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,0,5C3230,
405,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13612,5C3230,9686155666
406,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13605,5C3230,+91-9686155666
407,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13659,5C3230,9346375188
408,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,14660,5C3230,9048461530
409,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13608,5C3230,9995637551
410,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13607,5C3230,+91-8838695857
411,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,13606,5C3230,+91-9663367932
412,3217,CRH ENT MRI And Diagnostics,0,5C2843,
413,3217,CRH ENT MRI And Diagnostics,8870,5C2843,8923777728
414,3217,CRH ENT MRI And Diagnostics,8871,5C2843,9899942880
415,3217,CRH ENT MRI And Diagnostics,8960,5C2843,6393683645
416,3217,CRH ENT MRI And Diagnostics,15432,5C2843,7903237583
417,3217,CRH ENT MRI And Diagnostics,12912,5C2843,9414520526
418,3673,Tambo Salud,0,5C3289,
419,3673,Tambo Salud,14177,5C3289,5940432948
420,3570,Medicover Multi Speciality Hospitals Pune ,0,5C3186,
421,3570,Medicover Multi Speciality Hospitals Pune ,13943,5C3186,9028979896
422,3570,Medicover Multi Speciality Hospitals Pune ,13940,5C3186,1231321331
423,3570,Medicover Multi Speciality Hospitals Pune ,15704,5C3186,7331122381
424,3570,Medicover Multi Speciality Hospitals Pune ,13941,5C3186,7387435413
425,3570,Medicover Multi Speciality Hospitals Pune ,14039,5C3186,9767269248
426,3570,Medicover Multi Speciality Hospitals Pune ,13922,5C3186,9960506064
427,3570,Medicover Multi Speciality Hospitals Pune ,14021,5C3186,8830035041
428,3570,Medicover Multi Speciality Hospitals Pune ,13944,5C3186,9960506064
429,3570,Medicover Multi Speciality Hospitals Pune ,13945,5C3186,9511911159
430,3570,Medicover Multi Speciality Hospitals Pune ,13942,5C3186,9545213331
431,3570,Medicover Multi Speciality Hospitals Pune ,14020,5C3186,8424870289
432,3570,Medicover Multi Speciality Hospitals Pune ,14979,5C3186,9561090984
433,3570,Medicover Multi Speciality Hospitals Pune ,15719,5C3186,7744938609
434,2782,Apex Diagno Solution,0,5C2445,
435,2782,Apex Diagno Solution,2200,5C2445,
