,client_fk,client_name,onboarded_date,case_receiving_date,client_source,total_case,Within_TAT,tat_breach
3236,3268,Meridian Hospital,2023-08-01,2024-11-04,5C Admin (Sathish),2,1,1
3244,1506,Krishna Hospital & Research Center,2020-10-09,2024-11-04,,1,0,1
3247,2713,Kiran Digital X-ray,2022-07-12,2024-11-06,,1,1,0
3322,212,Hope Scan Centre - UP,2020-03-18,2024-10-17,,6,5,1
3341,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-08,,3,0,3
3375,2639,Affiniti Scan Center,2022-05-27,2024-11-06,,2,1,1
3385,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-11-10,Nikhil Hugar,3,0,3
3389,3015,Megsan Diagnostics - KPHB,2023-04-06,2024-11-04,5C Admin (Vaishak),2,2,0
3401,2357,Legit Medical Diagnostics & Poly Clinic,2021-11-19,2024-10-22,,1,1,0
3445,3666,S S CT SCAN,2024-05-06,2024-10-17,Nikhil Hugar,1,1,0
3461,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-29,,2,2,0
3485,1506,Krishna Hospital & Research Center,2020-10-09,2024-11-05,,6,2,4
3491,15,Madhubani Medical College & Hospital,2020-04-28,2024-11-05,,1,1,0
3514,3332,Saikrupa Clinic,2023-09-05,2024-10-25,Abhilash ,6,6,0
3551,3718,Blue Hills Hospital and Research Centre,2024-07-31,2024-10-23,Joel Elijah,1,1,0
3555,3773,Sharana Krupa Digital X-Ray Scanning Center,2024-08-31,2024-11-07,Sunil,4,4,0
3556,362,Pratham Hospital,2019-05-03,2024-10-15,Amith,5,4,1
3560,3467,Ashirwad Clinic And Diagnostic Centre ,2023-11-21,2024-10-15,Nikhil Hugar,1,1,0
3570,2064,Fortune Medcare Hospital,2021-08-11,2024-10-24,,2,1,1
3579,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-11-02,Abhisankar Biswal and Mukta Nandi,1,1,0
3584,1890,Narmada Apna Hospital,2021-05-05,2024-10-31,,6,5,1
3587,3630,Shankar Super Speciality Hospital,2024-04-05,2024-11-03,Nikhil Hugar,2,2,0
3597,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-11-06,Mahesh  Salian,1,0,1
3625,581,RR Diagnostics,2017-08-28,2024-10-17,,2,2,0
3628,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-10-17,Anil Kumar and Saravan Choudhary,1,1,0
3673,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-12,,3,3,0
3699,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-17,Mahesh Kumar G,5,4,1
3708,1539,HTS Digital X-ray - U2,2020-10-29,2024-11-04,,1,1,0
3715,3548,Lisie Hospital,2024-01-30,2024-11-01,Vaishak Shivadasan,3,0,3
3726,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-10-19,Podugu Bhanuprakash,2,2,0
3740,3552,St.Isabel's Hospital,2024-02-01,2024-10-28,Yesu Samuels ,4,4,0
3765,3005,Cosmos Health Care,2023-03-30,2024-10-23,5C Admin (Sathish),1,1,0
3767,3747,BELS Hospital,2024-08-03,2024-11-05,Mahesh Salian,1,1,0
3795,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-11-02,5C Admin (Vaishak),4,2,2
3831,3673,Tambo Salud,2024-05-09,2024-11-01,Vaishak Shivadasan,1,0,1
3868,2459,Agarwal Nursing Home,2022-01-03,2024-11-07,,3,2,1
3911,3716,Dinka Multispeciality Hospital,2024-08-06,2024-10-19,Joel Elijah,1,1,0
3926,778,Pen CT & MRI Scan Center,2019-02-02,2024-11-05,,1,1,0
3931,3586,Arogyadhama Multi Specialty Day Care & Diagnosis Services,2024-02-23,2024-10-28,Anthony Chethan,10,10,0
3932,3658,Sri Jayadeva Institute Of Cardiovascular Sciences & Research - Mysore,2024-04-29,2024-10-30,Mahesh Salian,1,1,0
3958,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-11-07,Abhisankar Biswal and Mukta Nandi,3,2,1
3990,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-10-22,Mahesh Salian,1,0,1
3999,2468,Rohini Diagnostics Scan Centre,2022-01-08,2024-10-30,,1,1,0
4035,1623,Blue Print Diagnostic & Polyclinic,2021-01-02,2024-10-29,,1,1,0
4077,655,Sahasra Hospital,2018-06-23,2024-10-17,,1,0,1
4094,1954,Patidar Diagnostic,2021-06-16,2024-10-18,,2,2,0
4104,3668,SD Suvidha Diagnostics and Pathology Pvt Ltd - Lucknow,2024-05-06,2024-10-20,Anthony Chethan,2,2,0
4133,2844,Prakhar High Tech CT Scan,2022-11-21,2024-10-24,,5,4,1
4138,2571,21st Century Hospital,2022-04-14,2024-11-04,,2,2,0
4198,754,Parkmed Healthcare,2017-08-09,2024-10-30,,1,1,0
4200,3700,Impulse Polyclinic,2024-08-02,2024-11-09,Joel Elijah,1,1,0
4203,3730,Yashashvi Hospital,2024-08-01,2024-11-07,Sunil,1,1,0
4207,3609,Care Diagnostic Centre,2024-03-20,2024-10-28,Pavan P Chouhan,1,1,0
4248,3256,NKG Diagnostic,2023-07-08,2024-10-29,5C Admin (Dhiren Lohar),6,6,0
4270,2623,Pacific Healthcare,2022-05-17,2024-10-27,,4,4,0
4276,2296,Sai Srinivasa Diagnostics,2021-10-26,2024-11-02,,1,1,0
4319,2160,VK Medical Centre,2021-09-02,2024-10-17,Amith,1,1,0
4324,3322,Insight Medical Diagnostic,2023-08-28,2024-11-10,Nikhil Hugar,2,0,2
4331,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-11-05,,2,2,0
4348,3791,Nidan Prime Scan Centre - A Venture Of Sgla Imaging llp,2024-08-30,2024-10-27,Anamika Kumari and Nikhil Hugar,3,1,2
4361,2993,Sri Vijayendhar Reddy Hospital,2023-03-23,2024-11-04,,1,1,0
4380,432,Preciise Diagnostics,2017-03-20,2024-11-05,,2,0,2
4434,655,Sahasra Hospital,2018-06-23,2024-10-16,,1,0,1
4520,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-11-06,,2,2,0
4532,2137,Anirish Orthopedic Clinic,2021-08-25,2024-11-09,,1,1,0
4540,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-16,,16,16,0
4573,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-22,Nikhil Hugar,1,1,0
4604,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-10-28,,4,4,0
4611,2477,Bioscan Diagnostics,2022-01-15,2024-10-24,,1,1,0
4634,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-28,,2,1,1
4654,568,Life Support Diagnostics Centre,2019-06-28,2024-11-03,,1,1,0
4686,3322,Insight Medical Diagnostic,2023-08-28,2024-11-01,Nikhil Hugar,4,3,1
4725,3765,Karelibaug Diagnostic Centre - Vadodara,2024-08-12,2024-11-01,Sunil,1,1,0
4742,3447,Bansal Hospital Sagar,2023-10-20,2024-10-16,Mahesh Salian,4,3,1
4757,362,Pratham Hospital,2019-05-03,2024-10-17,Amith,1,1,0
4760,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-21,5C Admin (Amith),4,0,4
4768,2477,Bioscan Diagnostics,2022-01-15,2024-10-15,,8,8,0
4777,3704,Neuberg Supratech Inspire Diagnostics LLP - Raipur,2024-07-09,2024-10-14,Mahesh Salian,1,0,1
4875,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-11-09,Abhilash Bharathan and Balaganesh A,5,5,0
4907,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-11-05,Jaya Mohan and Balaganesh A,1,1,0
4971,2064,Fortune Medcare Hospital,2021-08-11,2024-10-25,,1,1,0
5031,3855,Sambhav Upleta Diagnostic Center - Porbandar,2024-10-12,2024-10-27,Deepak Yadav and Saravan Choudhary,1,1,0
5068,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-18,Deepak Yadav and Saravan Choudhary,2,2,0
5087,2577,Kamareddy MRI & Diagnostic Centre,2022-04-18,2024-11-07,,1,1,0
5156,521,Rahul CT Scan Centre,2019-02-07,2024-10-29,,1,1,0
5177,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-10-27,Abhilash Bharathan and Balaganesh A,1,1,0
5183,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-30,,4,3,1
5191,3467,Ashirwad Clinic And Diagnostic Centre ,2023-11-21,2024-10-26,Nikhil Hugar,2,1,1
5222,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-30,,8,7,1
5226,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-06,,5,0,5
5249,3667,Sherwal Digital Colour X Ray,2024-05-06,2024-11-09,Nikhil Hugar,1,1,0
5250,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-20,,2,2,0
5255,3705,Dorika Hospital - Assam,2024-06-28,2024-11-01,Mahesh Salian,4,3,1
5275,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-11-05,Abhisankar Biswal and Mukta Nandi,1,0,1
5276,2782,Apex Diagno Solution,2022-09-20,2024-10-23,,2,2,0
5289,2606,Tatwadarsha Hospital,2022-05-10,2024-11-02,,2,1,1
5306,3293,San Camilo,2021-10-20,2024-10-14,Vaishak Shivadasan,25,22,3
5323,2856,Sattva Diagnostics,2022-12-07,2024-10-18,,1,1,0
5324,2749,Pixel Plus Diagnostics Centre,2022-08-06,2024-10-30,Amith,1,1,0
5335,3720,Vinayak Medicare Hospital,2024-07-13,2024-11-02,Amith,1,1,0
5349,2844,Prakhar High Tech CT Scan,2022-11-21,2024-11-04,,3,3,0
5378,2357,Legit Medical Diagnostics & Poly Clinic,2021-11-19,2024-11-02,,2,2,0
5391,2393,Camry Hospital,2021-12-02,2024-10-29,,1,1,0
5401,3637,Maruti Diagnostics,2024-04-12,2024-10-21,Joel Elijah,2,2,0
5419,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-24,5C Admin (Vaishak),2,2,0
5451,432,Preciise Diagnostics,2017-03-20,2024-10-15,,2,2,0
5478,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-10-22,Anamika Kumari and Nikhil Hugar,2,1,1
5496,2609,Neuberg Diagnostics,2022-05-11,2024-10-22,,1,1,0
5510,3752,Padmashree Hospital,2024-08-07,2024-11-06,Apoorv L Salehittal,1,1,0
5569,3133,BRS Hospital - Unit Of Neuberg,2023-05-22,2024-10-30,5C Admin (Sathish),1,1,0
5600,2459,Agarwal Nursing Home,2022-01-03,2024-10-28,,6,3,3
5671,1027,The Pariseba X-ray,2020-01-05,2024-10-23,,1,1,0
5674,3846,Pentaone Healthcare - Cuttack,2024-10-07,2024-11-04,Abhisankar Biswal and Mukta Nandi,3,2,1
5685,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-10-12,,2,2,0
5690,1597,DMR Polyclinic,2020-12-10,2024-10-15,,1,1,0
5691,2607,Subuhani Diagnostic Center,2022-05-10,2024-10-29,,1,1,0
5694,3256,NKG Diagnostic,2023-07-08,2024-10-24,5C Admin (Dhiren Lohar),6,6,0
5709,1554,Satyam Diagnostic Center - Dhanapur,2020-11-11,2024-11-06,,1,1,0
5722,3867,Dr. Balwant Singh's Hospital Inc - South America,2024-10-24,2024-11-09,Mahesh Salian,26,12,14
5760,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-10-22,5C Admin (Vaishak),1,0,1
5783,2193,Grand CT Scans,2021-09-15,2024-11-06,,2,1,1
5802,3736,Ratan Ultrasound Center,2024-08-09,2024-11-03,Sunil Malik and Akshat Misra,15,5,10
5847,3673,Tambo Salud,2024-05-09,2024-10-23,Vaishak Shivadasan,1,1,0
5870,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-10-24,Jaya Mohan and Balaganesh A,2,1,1
5882,1803,Global Diagnostics,2024-05-25,2024-10-23,Joel Elijah,1,1,0
5885,2835,Kaya Health Care,2022-11-09,2024-11-10,,1,0,1
5899,1944,Pandian Multispeciality Hospital,2021-06-10,2024-11-04,,4,4,0
5902,3859,Choudhary Lab & Xray,2024-10-24,2024-10-24,Anil Kumar and Saravan Choudhary,1,1,0
5923,825,Bone And Joint Clinic,2019-05-13,2024-10-24,,1,1,0
5943,781,KG Hospital,2017-08-14,2024-11-10,,1,1,0
5981,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-11-09,Anamika Kumari and Nikhil Hugar,1,0,1
6002,2459,Agarwal Nursing Home,2022-01-03,2024-10-13,,6,2,4
6021,2054,Imperial Hospital,2021-08-07,2024-10-14,,4,4,0
6029,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-11-09,,15,8,7
6049,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-10-27,Mahesh Salian,1,0,1
6059,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-11-03,,7,6,1
6072,2208,AR Raheman Multispecialty Hospital,2021-09-20,2024-10-22,,1,1,0
6117,751,Aditya Criticare Pvt. Ltd.,2019-02-16,2024-11-04,,5,5,0
6125,2420,Meditech Diagnostic Centre,2021-12-15,2024-11-02,,5,5,0
6190,1426,Neha Prakash Hospital,2020-08-03,2024-11-04,,2,1,1
6202,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-20,,3,3,0
6205,2420,Meditech Diagnostic Centre,2021-12-15,2024-11-07,,3,3,0
6248,2477,Bioscan Diagnostics,2022-01-15,2024-10-26,,2,2,0
6268,2393,Camry Hospital,2021-12-02,2024-11-02,,2,2,0
6301,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-10-14,Deepak Yadav and Saravan Choudhary,12,0,0
6342,3863,Prime Scans And Diagnostics,2024-10-30,2024-10-26,Jaya Mohan and Akash Poovathingal,2,2,0
6357,548,Omega Diagnostic Centre,2019-05-23,2024-11-02,,2,2,0
6375,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-10-29,5C Admin (Vaishak),1,1,0
6431,2243,Vivekananda Hospital - Khalilabad,2021-10-01,2024-10-20,,1,1,0
6435,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-15,,10,10,0
6438,2737,Safe Diagnostic,2022-07-25,2024-10-21,,2,2,0
6515,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-05,,6,3,3
6536,3310,Raksha  Health Care,2023-08-18,2024-10-29,Amith,3,3,0
6543,1890,Narmada Apna Hospital,2021-05-05,2024-11-01,,2,1,1
6554,1533,Vishal Multi Specialty Health Care Centre,2020-10-27,2024-10-18,,1,1,0
6561,1597,DMR Polyclinic,2020-12-10,2024-10-19,,3,3,0
6563,596,Micro Lab & Digital X-ray,2019-05-08,2024-10-19,,1,1,0
6586,1417,Sree Krishna Scans,2020-07-22,2024-10-18,,1,1,0
6591,12,Mahadev Multispeciality Hospital,2018-10-29,2024-10-30,,3,3,0
6600,3867,Dr. Balwant Singh's Hospital Inc - South America,2024-10-24,2024-10-24,Mahesh Salian,44,16,28
6618,3800,Cadabams Megsan Diagnostics,2024-09-05,2024-11-09,Nithin Bharadhwaj and Joel Elijah,1,1,0
6632,2193,Grand CT Scans,2021-09-15,2024-11-10,,1,1,0
6638,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-19,,2,2,0
6687,1697,Platinum Diagnostic Centre,2021-02-23,2024-11-10,,1,1,0
6770,1723,Vedanta Medical Research Foundation (Balco Medical Centre),2024-07-24,2024-10-26,Mahesh Salian,5,2,3
6808,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-11-01,Podugu Bhanuprakash,12,10,2
6834,3631,Sathaya Sai Diagnostic Center,2024-04-08,2024-11-04,Joel Elijah,1,1,0
6843,3849,Vinayaka Hospital - Wayanad,2024-10-09,2024-11-08,Jaya Mohan and Balaganesh A,1,0,1
6863,3548,Lisie Hospital,2024-01-30,2024-10-19,Vaishak Shivadasan,5,0,5
6870,2064,Fortune Medcare Hospital,2021-08-11,2024-10-27,,2,1,1
6877,2897,Adarsh Nursing Home,2024-06-24,2024-10-17,Rajendra Prasad,1,1,0
6898,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-22,,1,1,0
6914,3268,Meridian Hospital,2023-08-01,2024-10-13,5C Admin (Sathish),2,1,1
6943,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-28,,2,1,1
6957,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-10-23,Anil Kumar and Saravan Choudhary,1,1,0
6961,2006,Sree Jayam Ortho & Multispeciality Hospital,2021-07-20,2024-10-18,Abhilash Bharathan,2,2,0
6977,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-11-07,,2,1,1
6985,3720,Vinayak Medicare Hospital,2024-07-13,2024-11-03,Amith,1,1,0
6997,1551,Public Labs,2020-11-10,2024-11-07,,2,2,0
7013,2803,Sri Banadeshwara HI-Tech Lab & Scanning Center,2022-10-12,2024-10-14,,1,0,1
